1621442935.628873 client started (61478): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1621442935.628925 on Darwin 20.3.0 Darwin Kernel Version 20.3.0: Thu Jan 21 00:07:06 PST 2021; root:xnu-7195.81.3~1/RELEASE_X86_64
1621442935.628951 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1621442935.634359 sending message 105 to peer 0x7f9cf8048000 (57 bytes)
1621442935.634367 sending message 105 to peer 0x7f9cf8048000 (26 bytes)
1621442935.634374 sending message 105 to peer 0x7f9cf8048000 (22 bytes)
1621442935.634382 sending message 105 to peer 0x7f9cf8048000 (8 bytes)
1621442935.634390 sending message 105 to peer 0x7f9cf8048000 (31 bytes)
1621442935.634414 sending message 105 to peer 0x7f9cf8048000 (18 bytes)
1621442935.634422 sending message 105 to peer 0x7f9cf8048000 (14 bytes)
1621442935.634429 sending message 105 to peer 0x7f9cf8048000 (13 bytes)
1621442935.634437 sending message 105 to peer 0x7f9cf8048000 (12 bytes)
1621442935.634445 sending message 105 to peer 0x7f9cf8048000 (64 bytes)
1621442935.634453 sending message 105 to peer 0x7f9cf8048000 (121 bytes)
1621442935.634462 sending message 105 to peer 0x7f9cf8048000 (62 bytes)
1621442935.634470 sending message 106 to peer 0x7f9cf8048000 (0 bytes)
1621442935.634501 sending message 200 to peer 0x7f9cf8048000 (4 bytes)
1621442935.634511 client loop enter
1621442935.634671 client_signal: Child exited: 20
1621442936.176186 peer 0x7f9cf8048000 message 207
1621442936.176201 sending message 208 to peer 0x7f9cf8048000 (0 bytes)
1621442940.266207 peer 0x7f9cf8048000 message 203
1621442940.266228 sending message 205 to peer 0x7f9cf8048000 (0 bytes)
1621442940.266427 peer 0x7f9cf8048000 message 204
1621442940.266436 client loop exit
