

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
179.740  000.027  000.027: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/filetype.nvim/filetype.vim
181.132  000.029  000.029: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/filetype.nvim/filetype.vim
181.443  000.012  000.012: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/vim-polyglot/filetype.vim
181.582  000.015  000.015: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/filetype.vim
183.894  000.036  000.036: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
186.072  000.178  000.178: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/vim-git/ftdetect/git.vim
187.647  000.031  000.031: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/vim-polyglot/ftdetect/polyglot.vim
188.708  000.036  000.036: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/vim-prisma/ftdetect/prisma.vim
200.744  020.104  019.767: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/vim-polyglot/autoload/polyglot/init.vim
200.779  020.537  000.433: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/vim-polyglot/filetype.vim
201.066  000.098  000.098: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/filetype.lua
201.173  000.016  000.016: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/filetype.vim
203.805  000.101  000.101: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/syntax/synload.vim
203.981  002.624  002.524: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/syntax/syntax.vim
206.733  000.055  000.055: sourcing /Users/andrew/.config/nvim/plugin/vimspector.vim
211.358  003.109  003.109: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/vim-polyglot/plugin/polyglot.vim
212.689  000.224  000.224: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/gzip.vim
212.803  000.022  000.022: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/health.vim
214.422  000.480  000.480: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/matchit/plugin/matchit.vim
215.841  000.034  000.034: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
216.051  003.150  002.636: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/matchit.vim
